locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-363-C20_01633,AG-363-C20_37,46,855,,,,AG-363-C20,+,CDS,
AG-363-C20_01634,AG-363-C20_37,895,1590,,,,AG-363-C20,-,CDS,
AG-363-C20_01635,AG-363-C20_37,1821,2966,,,,AG-363-C20,+,CDS,
AG-363-C20_01636,AG-363-C20_37,2973,4034,,,,AG-363-C20,-,CDS,
AG-363-C20_01637,AG-363-C20_37,4139,5854,,,,AG-363-C20,-,CDS,
AG-363-C20_01638,AG-363-C20_37,5851,7305,,,,AG-363-C20,-,CDS,
AG-363-C20_01639,AG-363-C20_37,7293,7958,,,,AG-363-C20,-,CDS,
AG-363-C20_01640,AG-363-C20_37,7958,8374,,,,AG-363-C20,-,CDS,
AG-363-C20_01641,AG-363-C20_37,8386,9384,,,,AG-363-C20,-,CDS,
AG-363-C20_01642,AG-363-C20_37,9369,10520,PPDA,TIGR03297,3.7e-125,AG-363-C20,-,CDS,AG-363-C20__01642_2182981
AG-363-C20_01643,AG-363-C20_37,10525,11817,PEPM,TIGR02320,1.3e-122,AG-363-C20,-,CDS,AG-363-C20__01643_2182981
AG-363-C20_01644,AG-363-C20_37,11944,12846,,,,AG-363-C20,-,CDS,
AG-363-C20_01645,AG-363-C20_37,12851,14314,,,,AG-363-C20,-,CDS,
