locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-390-C22_00311,AG-390-C22_2,97231,97743,,,,AG-390-C22,-,CDS,
AG-390-C22_00312,AG-390-C22_2,97744,98592,,,,AG-390-C22,-,CDS,
AG-390-C22_00313,AG-390-C22_2,98610,99647,,,,AG-390-C22,-,CDS,
AG-390-C22_00314,AG-390-C22_2,99661,101217,,,,AG-390-C22,-,CDS,
AG-390-C22_00315,AG-390-C22_2,101301,102320,,,,AG-390-C22,-,CDS,
AG-390-C22_00316,AG-390-C22_2,102327,102875,,,,AG-390-C22,-,CDS,
AG-390-C22_00317,AG-390-C22_2,102875,104641,,,,AG-390-C22,-,CDS,
AG-390-C22_00318,AG-390-C22_2,104679,105596,,,,AG-390-C22,-,CDS,
AG-390-C22_00319,AG-390-C22_2,105598,107007,,,,AG-390-C22,-,CDS,
AG-390-C22_00320,AG-390-C22_2,107206,108075,,,,AG-390-C22,-,CDS,
AG-390-C22_00321,AG-390-C22_2,108075,109181,,,,AG-390-C22,-,CDS,
AG-390-C22_00322,AG-390-C22_2,109236,110063,,,,AG-390-C22,+,CDS,
AG-390-C22_00323,AG-390-C22_2,110044,111162,PPDH,PF00465,1.8e-69,AG-390-C22,-,CDS,AG-390-C22__00323_2183172
AG-390-C22_00324,AG-390-C22_2,111162,112262,PPDA,TIGR03297,2.8e-119,AG-390-C22,-,CDS,AG-390-C22__00324_2183172
AG-390-C22_00325,AG-390-C22_2,112265,113566,PEPM,TIGR02320,1.8e-110,AG-390-C22,-,CDS,AG-390-C22__00325_2183172
AG-390-C22_00326,AG-390-C22_2,113604,114551,,,,AG-390-C22,-,CDS,
AG-390-C22_00327,AG-390-C22_2,114584,114894,,,,AG-390-C22,+,tmRNA,
AG-390-C22_00328,AG-390-C22_2,114874,115179,,,,AG-390-C22,+,CDS,
AG-390-C22_00329,AG-390-C22_2,115303,115815,,,,AG-390-C22,-,CDS,
AG-390-C22_00330,AG-390-C22_2,115799,116146,,,,AG-390-C22,-,CDS,
AG-390-C22_00331,AG-390-C22_2,116318,116752,,,,AG-390-C22,+,CDS,
AG-390-C22_00332,AG-390-C22_2,116785,118245,,,,AG-390-C22,+,CDS,
AG-390-C22_00333,AG-390-C22_2,118343,118714,,,,AG-390-C22,-,CDS,
AG-390-C22_00334,AG-390-C22_2,118768,120156,,,,AG-390-C22,+,CDS,
AG-390-C22_00335,AG-390-C22_2,120159,121565,,,,AG-390-C22,-,CDS,
AG-390-C22_00336,AG-390-C22_2,121610,123658,,,,AG-390-C22,+,CDS,
AG-390-C22_00337,AG-390-C22_2,123646,125364,,,,AG-390-C22,+,CDS,
AG-390-C22_00338,AG-390-C22_2,125353,127386,,,,AG-390-C22,-,CDS,
AG-390-C22_00339,AG-390-C22_2,127398,128222,,,,AG-390-C22,-,CDS,
AG-390-C22_00340,AG-390-C22_2,128269,129195,,,,AG-390-C22,-,CDS,
