locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
TMED64_01244,TMED64_61,170,1237,,,,TMED64,+,CDS,
TMED64_01245,TMED64_61,1240,1887,,,,TMED64,-,CDS,
TMED64_01246,TMED64_61,1877,3919,,,,TMED64,-,CDS,
TMED64_01247,TMED64_61,3927,5624,,,,TMED64,-,CDS,
TMED64_01248,TMED64_61,5824,6129,,,,TMED64,+,CDS,
TMED64_01249,TMED64_61,6131,6631,,,,TMED64,+,CDS,
TMED64_01250,TMED64_61,6714,7589,,,,TMED64,+,CDS,
TMED64_01251,TMED64_61,7574,8320,,,,TMED64,+,CDS,
TMED64_01252,TMED64_61,8331,9653,,,,TMED64,+,CDS,
TMED64_01253,TMED64_61,9659,10681,,,,TMED64,+,CDS,
TMED64_01254,TMED64_61,10690,11703,,,,TMED64,+,CDS,
TMED64_01255,TMED64_61,11719,13011,PEPM,TIGR02320,5.5e-107,TMED64,+,CDS,TMED64__01255_2182713
TMED64_01256,TMED64_61,13022,13819,,,,TMED64,+,CDS,
TMED64_01257,TMED64_61,13822,14922,PPDA,TIGR03297,3.7e-118,TMED64,+,CDS,TMED64__01257_2182713
TMED64_01258,TMED64_61,14932,16050,PPDH,PF00465,1.1e-60,TMED64,+,CDS,TMED64__01258_2182713
TMED64_01259,TMED64_61,16056,17423,,,,TMED64,+,CDS,
TMED64_01260,TMED64_61,17438,17953,,,,TMED64,+,CDS,
TMED64_01261,TMED64_61,17960,19072,,,,TMED64,+,CDS,
TMED64_01262,TMED64_61,19088,20149,,,,TMED64,+,CDS,
TMED64_01263,TMED64_61,20152,20763,,,,TMED64,+,CDS,
TMED64_01264,TMED64_61,20773,21624,,,,TMED64,+,CDS,
TMED64_01265,TMED64_61,21614,22639,,,,TMED64,+,CDS,
TMED64_01266,TMED64_61,22629,23315,,,,TMED64,+,CDS,
TMED64_01267,TMED64_61,23316,24419,,,,TMED64,+,CDS,
TMED64_01268,TMED64_61,24422,25759,,,,TMED64,+,CDS,
TMED64_01269,TMED64_61,25778,27574,,,,TMED64,+,CDS,
TMED64_01270,TMED64_61,27580,28341,,,,TMED64,+,CDS,
