locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-676-A21_01161,gnl|11.17.2016|AG-676-A21_13,5,2065,,,,AG-676-A21,-,CDS,
AG-676-A21_01162,gnl|11.17.2016|AG-676-A21_13,2130,3491,,,,AG-676-A21,-,CDS,
AG-676-A21_01163,gnl|11.17.2016|AG-676-A21_13,3488,4531,,,,AG-676-A21,-,CDS,
AG-676-A21_01164,gnl|11.17.2016|AG-676-A21_13,4543,6321,,,,AG-676-A21,-,CDS,
AG-676-A21_01165,gnl|11.17.2016|AG-676-A21_13,6331,7527,,,,AG-676-A21,-,CDS,
AG-676-A21_01166,gnl|11.17.2016|AG-676-A21_13,7880,9247,,,,AG-676-A21,+,CDS,
AG-676-A21_01167,gnl|11.17.2016|AG-676-A21_13,9244,10323,,,,AG-676-A21,+,CDS,
AG-676-A21_01168,gnl|11.17.2016|AG-676-A21_13,10542,11819,PEPM,TIGR02320,5.1e-124,AG-676-A21,+,CDS,AG-676-A21__01168_2183088
AG-676-A21_01169,gnl|11.17.2016|AG-676-A21_13,11828,12949,PPDA,TIGR03297,7.7e-136,AG-676-A21,+,CDS,AG-676-A21__01169_2183088
AG-676-A21_01170,gnl|11.17.2016|AG-676-A21_13,12946,14112,PPDH,PF00465,2e-75,AG-676-A21,+,CDS,AG-676-A21__01170_2183088
AG-676-A21_01171,gnl|11.17.2016|AG-676-A21_13,14191,15324,,,,AG-676-A21,+,CDS,
AG-676-A21_01172,gnl|11.17.2016|AG-676-A21_13,15324,17114,,,,AG-676-A21,+,CDS,
AG-676-A21_01173,gnl|11.17.2016|AG-676-A21_13,17337,19109,,,,AG-676-A21,+,CDS,
AG-676-A21_01174,gnl|11.17.2016|AG-676-A21_13,19102,20457,,,,AG-676-A21,+,CDS,
AG-676-A21_01175,gnl|11.17.2016|AG-676-A21_13,20492,21610,,,,AG-676-A21,+,CDS,
AG-676-A21_01176,gnl|11.17.2016|AG-676-A21_13,21603,22442,,,,AG-676-A21,+,CDS,
AG-676-A21_01177,gnl|11.17.2016|AG-676-A21_13,22495,23598,,,,AG-676-A21,+,CDS,
AG-676-A21_01178,gnl|11.17.2016|AG-676-A21_13,23600,24211,,,,AG-676-A21,+,CDS,
AG-676-A21_01179,gnl|11.17.2016|AG-676-A21_13,24225,25001,,,,AG-676-A21,+,CDS,
AG-676-A21_01180,gnl|11.17.2016|AG-676-A21_13,25199,26986,,,,AG-676-A21,+,CDS,
