locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-430-L02_00039,AG-430-L02_1,31857,32780,,,,AG-430-L02,-,CDS,
AG-430-L02_00040,AG-430-L02_1,32793,33803,,,,AG-430-L02,-,CDS,
AG-430-L02_00041,AG-430-L02_1,33813,34451,,,,AG-430-L02,-,CDS,
AG-430-L02_00042,AG-430-L02_1,34448,35254,,,,AG-430-L02,-,CDS,
AG-430-L02_00043,AG-430-L02_1,35220,36149,,,,AG-430-L02,-,CDS,
AG-430-L02_00044,AG-430-L02_1,36146,36856,,,,AG-430-L02,-,CDS,
AG-430-L02_00045,AG-430-L02_1,36847,38061,,,,AG-430-L02,-,CDS,
AG-430-L02_00046,AG-430-L02_1,38070,39173,,,,AG-430-L02,-,CDS,
AG-430-L02_00047,AG-430-L02_1,39177,40151,,,,AG-430-L02,-,CDS,
AG-430-L02_00048,AG-430-L02_1,40159,41289,,,,AG-430-L02,-,CDS,
AG-430-L02_00049,AG-430-L02_1,41343,42434,,,,AG-430-L02,-,CDS,
AG-430-L02_00050,AG-430-L02_1,42436,44145,,,,AG-430-L02,-,CDS,
AG-430-L02_00051,AG-430-L02_1,44157,44693,,,,AG-430-L02,-,CDS,
AG-430-L02_00052,AG-430-L02_1,44728,45468,,,,AG-430-L02,-,CDS,
AG-430-L02_00053,AG-430-L02_1,45473,46570,PPDH,PF00465,9.3e-66,AG-430-L02,-,CDS,AG-430-L02__00053_2182722
AG-430-L02_00054,AG-430-L02_1,46582,47685,PPDA,TIGR03297,4.1e-120,AG-430-L02,-,CDS,AG-430-L02__00054_2182722
AG-430-L02_00055,AG-430-L02_1,47672,48985,PEPM,TIGR02320,1.3e-110,AG-430-L02,-,CDS,AG-430-L02__00055_2182722
AG-430-L02_00056,AG-430-L02_1,49036,50463,,,,AG-430-L02,-,CDS,
AG-430-L02_00057,AG-430-L02_1,50780,51550,,,,AG-430-L02,-,CDS,
AG-430-L02_00058,AG-430-L02_1,51547,52269,,,,AG-430-L02,-,CDS,
AG-430-L02_00059,AG-430-L02_1,52280,53059,,,,AG-430-L02,-,CDS,
AG-430-L02_00060,AG-430-L02_1,53069,53947,,,,AG-430-L02,-,CDS,
AG-430-L02_00061,AG-430-L02_1,53954,55000,,,,AG-430-L02,-,CDS,
AG-430-L02_00062,AG-430-L02_1,55012,55665,,,,AG-430-L02,-,CDS,
AG-430-L02_00063,AG-430-L02_1,55670,56821,,,,AG-430-L02,-,CDS,
AG-430-L02_00064,AG-430-L02_1,56821,57570,,,,AG-430-L02,-,CDS,
AG-430-L02_00065,AG-430-L02_1,57647,58144,,,,AG-430-L02,-,CDS,
AG-430-L02_00066,AG-430-L02_1,58144,58446,,,,AG-430-L02,-,CDS,
AG-430-L02_00067,AG-430-L02_1,58524,59642,,,,AG-430-L02,-,CDS,
AG-430-L02_00068,AG-430-L02_1,59642,60952,,,,AG-430-L02,-,CDS,
AG-430-L02_00069,AG-430-L02_1,60952,61833,,,,AG-430-L02,-,CDS,
AG-430-L02_00070,AG-430-L02_1,61823,62833,,,,AG-430-L02,-,CDS,
AG-430-L02_00071,AG-430-L02_1,62830,63888,,,,AG-430-L02,-,CDS,
AG-430-L02_00072,AG-430-L02_1,63893,64891,,,,AG-430-L02,-,CDS,
