A09100 Metabolism
B
B	09101 Carbohydrate metabolism
C		00010 Glycolysis / Gluconeogenesis	PATH:ko00010
C		00020 Citrate cycle (TCA cycle)	PATH:ko00020
C		00030 Pentose phosphate pathway	PATH:ko00030
C		00040 Pentose and glucuronate interconversions	PATH:ko00040
C		00051 Fructose and mannose metabolism	PATH:ko00051
C		00052 Galactose metabolism	PATH:ko00052
C		00053 Ascorbate and aldarate metabolism	PATH:ko00053
C		00500 Starch and sucrose metabolism	PATH:ko00500
C		00520 Amino sugar and nucleotide sugar metabolism	PATH:ko00520
C		00620 Pyruvate metabolism	PATH:ko00620
C		00630 Glyoxylate and dicarboxylate metabolism	PATH:ko00630
C		00640 Propanoate metabolism	PATH:ko00640
C		00650 Butanoate metabolism	PATH:ko00650
C		00660 C5-Branched dibasic acid metabolism	PATH:ko00660
C		00562 Inositol phosphate metabolism	PATH:ko00562
B
B	09102 Energy metabolism
C		00190 Oxidative phosphorylation	PATH:ko00190
C		00195 Photosynthesis	PATH:ko00195
C		00196 Photosynthesis - antenna proteins	PATH:ko00196
C		00710 Carbon fixation in photosynthetic organisms	PATH:ko00710
C		00720 Carbon fixation pathways in prokaryotes	PATH:ko00720
C		00680 Methane metabolism	PATH:ko00680
C		00910 Nitrogen metabolism	PATH:ko00910
C		00920 Sulfur metabolism	PATH:ko00920
B
B	09103 Lipid metabolism
C		00061 Fatty acid biosynthesis	PATH:ko00061
C		00062 Fatty acid elongation	PATH:ko00062
C		00071 Fatty acid degradation	PATH:ko00071
C		00072 Synthesis and degradation of ketone bodies	PATH:ko00072
C		00073 Cutin, suberine and wax biosynthesis	PATH:ko00073
C		00100 Steroid biosynthesis	PATH:ko00100
C		00120 Primary bile acid biosynthesis	PATH:ko00120
C		00121 Secondary bile acid biosynthesis	PATH:ko00121
C		00140 Steroid hormone biosynthesis	PATH:ko00140
C		00561 Glycerolipid metabolism	PATH:ko00561
C		00564 Glycerophospholipid metabolism	PATH:ko00564
C		00565 Ether lipid metabolism	PATH:ko00565
C		00600 Sphingolipid metabolism	PATH:ko00600
C		00590 Arachidonic acid metabolism	PATH:ko00590
C		00591 Linoleic acid metabolism	PATH:ko00591
C		00592 alpha-Linolenic acid metabolism	PATH:ko00592
C		01040 Biosynthesis of unsaturated fatty acids	PATH:ko01040
B
B	09104 Nucleotide metabolism
C		00230 Purine metabolism	PATH:ko00230
C		00240 Pyrimidine metabolism	PATH:ko00240
B
B	09105 Amino acid metabolism
C		00250 Alanine, aspartate and glutamate metabolism	PATH:ko00250
C		00260 Glycine, serine and threonine metabolism	PATH:ko00260
C		00270 Cysteine and methionine metabolism	PATH:ko00270
C		00280 Valine, leucine and isoleucine degradation	PATH:ko00280
C		00290 Valine, leucine and isoleucine biosynthesis	PATH:ko00290
C		00300 Lysine biosynthesis	PATH:ko00300
C		00310 Lysine degradation	PATH:ko00310
C		00220 Arginine biosynthesis	PATH:ko00220
C		00330 Arginine and proline metabolism	PATH:ko00330
C		00340 Histidine metabolism	PATH:ko00340
C		00350 Tyrosine metabolism	PATH:ko00350
C		00360 Phenylalanine metabolism	PATH:ko00360
C		00380 Tryptophan metabolism	PATH:ko00380
C		00400 Phenylalanine, tyrosine and tryptophan biosynthesis	PATH:ko00400
B
B	09106 Metabolism of other amino acids
C		00410 beta-Alanine metabolism	PATH:ko00410
C		00430 Taurine and hypotaurine metabolism	PATH:ko00430
C		00440 Phosphonate and phosphinate metabolism	PATH:ko00440
C		00450 Selenocompound metabolism	PATH:ko00450
C		00460 Cyanoamino acid metabolism	PATH:ko00460
C		00471 D-Glutamine and D-glutamate metabolism	PATH:ko00471
C		00472 D-Arginine and D-ornithine metabolism	PATH:ko00472
C		00473 D-Alanine metabolism	PATH:ko00473
C		00480 Glutathione metabolism	PATH:ko00480
B
B	09107 Glycan biosynthesis and metabolism
C		00510 N-Glycan biosynthesis	PATH:ko00510
C		00513 Various types of N-glycan biosynthesis	PATH:ko00513
C		00512 Mucin type O-glycan biosynthesis	PATH:ko00512
C		00515 Mannose type O-glycan biosynthesis	PATH:ko00515
C		00514 Other types of O-glycan biosynthesis	PATH:ko00514
C		00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	PATH:ko00532
C		00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin	PATH:ko00534
C		00533 Glycosaminoglycan biosynthesis - keratan sulfate	PATH:ko00533
C		00531 Glycosaminoglycan degradation	PATH:ko00531
C		00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	PATH:ko00563
C		00601 Glycosphingolipid biosynthesis - lacto and neolacto series	PATH:ko00601
C		00603 Glycosphingolipid biosynthesis - globo and isoglobo series	PATH:ko00603
C		00604 Glycosphingolipid biosynthesis - ganglio series	PATH:ko00604
C		00540 Lipopolysaccharide biosynthesis	PATH:ko00540
C		00550 Peptidoglycan biosynthesis	PATH:ko00550
C		00511 Other glycan degradation	PATH:ko00511
C		00571 Lipoarabinomannan (LAM) biosynthesis	PATH:ko00571
C		00572 Arabinogalactan biosynthesis - Mycobacterium	PATH:ko00572
B
B	09108 Metabolism of cofactors and vitamins
C		00730 Thiamine metabolism	PATH:ko00730
