enzyme	seqid	genome	contig	gene_no	start	end	strand	pfam	dbit	devalue	fullbit	fullevalue
lysR	AG-313-F06_15_29_26435_27364_R	AG-313-F06	15	29	26435	27364	R	PF03466.19	123.7	2.8e-36	123.3	3.7e-36
phnY	AG-313-F06_15_34_32624_34102_F	AG-313-F06	15	34	32624	34102	F	PF00171.21	587.9	2e-176	587.7	2.3e-176
phnY	AG-313-F06_57_4_2519_3967_R	AG-313-F06	57	4	2519	3967	R	TIGR03250	758.7	3.4e-228	758.5	3.9e-228
phnA	AG-313-F06_57_5_4020_5264_R	AG-313-F06	57	5	4020	5264	R	TIGR02335	500.8	2.3e-150	500.5	2.8e-150
phnW	AG-313-F06_57_6_5277_6470_R	AG-313-F06	57	6	5277	6470	R	TIGR02326	477.4	5.7e-145	477.1	6.9e-145
phnY	AG-313-J17_11_19_16314_17762_R	AG-313-J17	11	19	16314	17762	R	TIGR03250	743.4	1.4e-223	743.3	1.6e-223
phnA	AG-313-J17_11_20_17776_19020_R	AG-313-J17	11	20	17776	19020	R	TIGR02335	492.7	6.2e-148	492.6	7e-148
phnW	AG-313-J17_11_21_19047_20234_R	AG-313-J17	11	21	19047	20234	R	TIGR02326	474.4	4.8e-144	474.1	5.9e-144
lysR	AG-313-J17_11_22_20350_21228_F	AG-313-J17	11	22	20350	21228	F	PF03466.19	82.9	8.3e-24	82.6	1e-23
lysR	AG-313-J17_11_27_26031_26957_R	AG-313-J17	11	27	26031	26957	R	PF03466.19	102.4	8.9e-30	102.2	1.1e-29
phnW	AG-313-N13_1_8_4771_5868_F	AG-313-N13	1	8	4771	5868	F	TIGR02326	471.9	2.7e-143	471.6	3.4e-143
phnY	AG-313-N13_1_12_7773_9212_R	AG-313-N13	1	12	7773	9212	R	TIGR03250	781.2	5e-235	781	5.7e-235
phnA	AG-313-N13_1_13_9212_10453_R	AG-313-N13	1	13	9212	10453	R	TIGR02335	472.5	8.4e-142	472.4	9.4e-142
phnY	AG-319-A16_5_9_9209_10588_F	AG-319-A16	5	9	9209	10588	F	PF00171.21	363.7	1.9e-108	363.6	2.2e-108
lysR	AG-319-A16_5_12_12888_13760_F	AG-319-A16	5	12	12888	13760	F	PF03466.19	102.2	1.1e-29	101.5	1.7e-29
phnY	AG-319-A16_8_4_3141_4571_R	AG-319-A16	8	4	3141	4571	R	PF00171.21	497.3	6.1e-149	497.1	7e-149
lysR	AG-319-A16_8_5_4674_5618_R	AG-319-A16	8	5	4674	5618	R	PF03466.19	104.9	1.6e-30	103.9	3.1e-30
phnA	AG-319-A16_12_1_131_1369_R	AG-319-A16	12	1	131	1369	R	TIGR02335	526.1	4.6e-158	525.9	5.2e-158
phnW	AG-319-A16_12_2_1396_2589_R	AG-319-A16	12	2	1396	2589	R	TIGR02326	468.3	3.3e-142	468	4e-142
lysR	AG-319-A16_12_3_2689_3555_F	AG-319-A16	12	3	2689	3555	F	PF03466.19	97.7	2.5e-28	97.1	3.7e-28
phnY	AG-319-A16_12_8_7505_8983_R	AG-319-A16	12	8	7505	8983	R	PF00171.21	516.5	8.8e-155	516.3	9.9000000000000008e-155
phnA	AG-319-D07_1_49_46859_48100_F	AG-319-D07	1	49	46859	48100	F	TIGR02335	485.3	1.1e-145	485	1.4e-145
phnY	AG-319-D07_1_50_48100_49539_F	AG-319-D07	1	50	48100	49539	F	TIGR03250	773.7	9.7e-233	773.5	1.1e-232
phnW	AG-319-D07_1_54_52129_53226_R	AG-319-D07	1	54	52129	53226	R	TIGR02326	480.1	8.4e-146	480	9.6e-146
phnS2	AG-319-D07_1_58_56222_57265_R	AG-319-D07	1	58	56222	57265	R	TIGR03261	403	1.2e-122	402.7	1.4e-122
